Standard Work Content Title Name,Standard Work Content ID,Standard Work Content UID,Asset Family Name,File code associated,Maintenance Task ID
"Paint/Coat Product",	174939,	f554469d-d37c-4cbb-8da6-d685af42e937,"cpl_ALT-LH-RBS5",EQ-80014311|EQ-80048271|EQ-80064825|EQ-80022216|EQ-72000011|EQ-80054406,I4250026311100
"Paint/Coat Product",	174939,	f554469d-d37c-4cbb-8da6-d685af42e937,"cpl_CA-SHIFT",EQ-13598-000-01000,I4250024311100
"Paint/Coat Product",	174939,	f554469d-d37c-4cbb-8da6-d685af42e937,"cpl_SSSV-ET-70",EQ-101109566|EQ-100582102,I4250027011100
"Paint/Coat Product",	174939,	f554469d-d37c-4cbb-8da6-d685af42e937,"cpl_ALT-SAN-QMCM-60",EQ-101402596,I4250027711100
"Paint/Coat Product",	174939,	f554469d-d37c-4cbb-8da6-d685af42e937,"cpl_ML-RUNM-RF-70",EQ-100767412,I4250026911100
"Paint/Coat Product",	174939,	f554469d-d37c-4cbb-8da6-d685af42e937,"cpl_WRSV-TEST",EQ-100856671|EQ-100860801|EQ-100987162,I4250026611100
"Paint/Coat Product",	174939,	f554469d-d37c-4cbb-8da6-d685af42e937,"cpl_TBGSWVL237",EQ-103340745,I4250020811100
"Paint/Coat Product",	174939,	f554469d-d37c-4cbb-8da6-d685af42e937,"cpl_SSSV-DLOT-25",EQ-100201558|EQ-100056987,I4250029211070
"Paint/Coat Product",	174939,	f554469d-d37c-4cbb-8da6-d685af42e937,"cpl_ALT-SAN-QVSS-FA",EQ-103340906,I4250020911100
"Paint/Coat Product",	174939,	f554469d-d37c-4cbb-8da6-d685af42e937,"cpl_ALT-LH-11JB",EQ-80012472,I4250024411100
"Paint/Coat Product",	174939,	f554469d-d37c-4cbb-8da6-d685af42e937,"cpl_ALT-PK-BAPSCRT-EF",EQ-103340760,I4250023611100
"Paint/Coat Product",	174939,	f554469d-d37c-4cbb-8da6-d685af42e937,"cpl_EC_WTLS-CP",EQ-100012515,I4250029711070
"Paint/Coat Product",	174939,	f554469d-d37c-4cbb-8da6-d685af42e937,"cpl_ALT-LH-RT-4CRT",EQ-103270395,I4250023111100
"Paint/Coat Product",	174939,	f554469d-d37c-4cbb-8da6-d685af42e937,"cpl_ALT-LH-5XBS",EQ-104222484|EQ-104222482|EQ-104222483,I4250025111100
"Paint/Coat Product",	174939,	f554469d-d37c-4cbb-8da6-d685af42e937,"cpl_TRANS-TPY",EQ-103340282,I4250020611100
"Paint/Coat Product",	174939,	f554469d-d37c-4cbb-8da6-d685af42e937,"cpl_FUSP-121",EQ-100170914,I4250029411070
"Paint/Coat Product",	174939,	f554469d-d37c-4cbb-8da6-d685af42e937,"cpl_QXMP-FA",EQ-103384955,I4250024011100
"Paint/Coat Product",	174939,	f554469d-d37c-4cbb-8da6-d685af42e937,"cpl_CIKRMC-A",CIKRMC-A,I4250020211100
"Paint/Coat Product",	174939,	f554469d-d37c-4cbb-8da6-d685af42e937,"cpl_ALT-CPS-LH-RBS-G3-5",EQ-104452533|EQ-104470166|EQ-104395404,I4250024711100
"Paint/Coat Product",	174939,	f554469d-d37c-4cbb-8da6-d685af42e937,"cpl_QXSP-DA",EQ-103383600,I4250022611100
"Paint/Coat Product",	174939,	f554469d-d37c-4cbb-8da6-d685af42e937,"cpl_CNTR-EA",EQ-100097400,I4250029611070
"Paint/Coat Product",	174939,	f554469d-d37c-4cbb-8da6-d685af42e937,"cpl_SSSV-DLOT-45",EQ-100044627|EQ-100307052|EQ-100052205,I4250020011070
"Paint/Coat Product",	174939,	f554469d-d37c-4cbb-8da6-d685af42e937,"cpl_ALT-SAN-QMT3NST-60",EQ-100940236|EQ-101436843,I4250027311100
"Paint/Coat Product",	174939,	f554469d-d37c-4cbb-8da6-d685af42e937,"cpl_SUB",EQ-103444641|EQ-103444643,I4250024211100
"Paint/Coat Product",	174939,	f554469d-d37c-4cbb-8da6-d685af42e937,"cpl_ALT-PK-BAPSC-F",EQ-103340774,I4250021011100
"Paint/Coat Product",	174939,	f554469d-d37c-4cbb-8da6-d685af42e937,"cpl_ALT-SAN-DPGC500",EQ-103340228,I4250023811100
"Paint/Coat Product",	174939,	f554469d-d37c-4cbb-8da6-d685af42e937,"cpl_PKR-RET-QTM-47",EQ-039910095,I4250022911100
"Paint/Coat Product",	174939,	f554469d-d37c-4cbb-8da6-d685af42e937,"cpl_CONTAINER-OPEN",CPL-CONTAINER-OPEN,I4250019811100
"Paint/Coat Product",	174939,	f554469d-d37c-4cbb-8da6-d685af42e937,"cpl_ALT-SAN-QMAMFST-60",EQ-104199435|EQ-103093199|EQ-101342374,I4250027611100
"Paint/Coat Product",	174939,	f554469d-d37c-4cbb-8da6-d685af42e937,"cpl_ALT-SAN-MZIM-40",EQ-101026542|EQ-100680440,I4250027411100
"Paint/Coat Product",	174939,	f554469d-d37c-4cbb-8da6-d685af42e937,"cpl_QVPR-60",EQ-100487917,I4250026411100
"Paint/Coat Product",	174939,	f554469d-d37c-4cbb-8da6-d685af42e937,"cpl_SSSV-SLOT-37",EQ-13719-000-00003|EQ-13858-000-00002,I4250024811100
"Paint/Coat Product",	174939,	f554469d-d37c-4cbb-8da6-d685af42e937,"cpl_RPTOOL-Z6-55",EQ-15093-000-01000,I4250021411100
"Paint/Coat Product",	174939,	f554469d-d37c-4cbb-8da6-d685af42e937,"cpl_ML-DFCT-RX-96",EQ-39514-000-00001,I4250025211100
"Paint/Coat Product",	174939,	f554469d-d37c-4cbb-8da6-d685af42e937,"cpl_ALT-SAN-MZDM-60",EQ-100813753,I4250026711100
"Paint/Coat Product",	174939,	f554469d-d37c-4cbb-8da6-d685af42e937,"cpl_SSSV-SLOT-43",EQ-13775-000-00001,I4250021311100
"Paint/Coat Product",	174939,	f554469d-d37c-4cbb-8da6-d685af42e937,"cpl_ALT-SAN-QVT3ST-40",EQ-100507913,I4250020511100
"Paint/Coat Product",	174939,	f554469d-d37c-4cbb-8da6-d685af42e937,"cpl_ALT-SAN-TBGSWVL350",EQ-103340065,I4250023211100
"Paint/Coat Product",	174939,	f554469d-d37c-4cbb-8da6-d685af42e937,"cpl_CP-INST-LSKIT",EQ-101570970,I4250028311100
"Paint/Coat Product",	174939,	f554469d-d37c-4cbb-8da6-d685af42e937,"cpl_DHET-MOD-1",EQ-103146665,I4250022011100
"Paint/Coat Product",	174939,	f554469d-d37c-4cbb-8da6-d685af42e937,"cpl_IV-N2RES-MAN",EQ-1063135_REI,I4250024911100
"Paint/Coat Product",	174939,	f554469d-d37c-4cbb-8da6-d685af42e937,"cpl_ML-DLA-RXT-96",EQ-80010975,I4250028711100
"Paint/Coat Product",	174939,	f554469d-d37c-4cbb-8da6-d685af42e937,"cpl_TKIT-QMTS",EQ-100139962,I4250030311070
"Paint/Coat Product",	174939,	f554469d-d37c-4cbb-8da6-d685af42e937,"cpl_FBR-PUMP-DA",EQ-100159338,I4250021811070
"Paint/Coat Product",	174939,	f554469d-d37c-4cbb-8da6-d685af42e937,"cpl_ALT-PK-PKR-SV-3PWLP",EQ-682-20-016-WLP,I4250025811100
"Paint/Coat Product",	174939,	f554469d-d37c-4cbb-8da6-d685af42e937,"cpl_NEON_TLS-TS",EQ-100197872,I4250030511070
"Paint/Coat Product",	174939,	f554469d-d37c-4cbb-8da6-d685af42e937,"cpl_EDMC_00001",EQ-100040065,I4250029911070
"Paint/Coat Product",	174939,	f554469d-d37c-4cbb-8da6-d685af42e937,"cpl_PSPI-AM",EQ-101459858,I4250028411100
"Paint/Coat Product",	174939,	f554469d-d37c-4cbb-8da6-d685af42e937,"cpl_ALT-PK-MSET-DNL-50",EQ-61352RS-XBEA-DNL,I4250030211070
"Paint/Coat Product",	174939,	f554469d-d37c-4cbb-8da6-d685af42e937,"cpl_ALT-SAN-DHGC-D-K",EQ-100150180,I4250029511070
"Paint/Coat Product",	174939,	f554469d-d37c-4cbb-8da6-d685af42e937,"cpl_QMFB3ST-60",EQ-101420977,I4250028211100
