"S.No","File Code","Asset family linked","Components","Services linked"
"227","7-46ZV-XS-TOOL","wl_7-46ZV-XS-TOOL","0","Wireline"
"228","7-46ZV-XXS","wl_7-46ZV-XXS","0","Wireline"
"229","7-46ZV-XXS-TOOL","wl_7-46ZV-XXS-TOOL","0","Wireline"
"230","7-46ZVI","wl_7-46ZVI","0","Wireline"
"231","7-46ZVI-TOOL","wl_7-46ZVI-TOOL","0","Wireline"
"232","7-46ZVI-XS-TOOL","wl_7-46ZVI-XS-TOOL","0","Wireline"
"233","7-46ZVI-XXS","wl_7-46ZVI-XXS","0","Wireline"
"234","7-46ZVI-XXS-TOOL","wl_7-46ZVI-XXS-TOOL","0","Wireline"
"235","7-46ZVXS","wl_7-46ZVXS","0","Wireline"
"236","7-46ZVXS-TOOL","wl_7-46ZVXS-TOOL","0","Wireline"
"237","7-46ZVXXS","wl_7-46ZVXXS","0","Wireline"
"238","7-46ZVXXS-TOOL","wl_7-46ZVXXS-TOOL","0","Wireline"
"239","7-48","wl_7-48","0","Wireline"
"240","7-48AI-XXS","wl_7-48AI-XXS","0","Wireline"
"241","7-48AI-XXS-TOOL","wl_7-48AI-XXS-TOOL","0","Wireline"
"242","7-48ASUS","wl_7-48ASUS","0","Wireline"
"243","7-48ASUS-TOOL","wl_7-48ASUS-TOOL","0","Wireline"
"244","7-48ASUSP","wl_7-48ASUSP","0","Wireline"
"245","7-48ASUSP-TOOL","wl_7-48ASUSP-TOOL","0","Wireline"
"246","7-48KA-SUSP","wl_7-48KA-SUSP","0","Wireline"
"247","7-48KA-SUSP-TOOL","wl_7-48KA-SUSP-TOOL","0","Wireline"
"248","7-48KA_SUS-TOOL","wl_7-48KA_SUS-TOOL","0","Wireline"
"249","7-48ZA-US","wl_7-48ZA-US","0","Wireline"
"250","7-48ZA-US-TOOL","wl_7-48ZA-US-TOOL","0","Wireline"
"251","7-48ZA-XXS","wl_7-48ZA-XXS","0","Wireline"
"252","7-48ZA-XXS-TOOL","wl_7-48ZA-XXS-TOOL","0","Wireline"
"253","7-48ZAUS","wl_7-48ZAUS","0","Wireline"
